0,1,2,3,4,5,6,7,8,9,10
yogurt,pastry,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
dessert,pork,,,,,,,,,
meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
chicken,domestic eggs,,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
frankfurter,onions,,,,,,,,,
cream,newspapers,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
citrus fruit,soda,,,,,,,,,
onions,soda,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
light bulbs,detergent,,,,,,,,,
tropical fruit,onions,,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
tropical fruit,curd,,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
pip fruit,long life bakery product,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,margarine,,,,,,,,,
canned beer,syrup,brown bread,rice,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
mustard,salt,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
beef,chocolate,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
dessert,curd,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
ice cream,chewing gum,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
sausage,pip fruit,hard cheese,frozen vegetables,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
onions,domestic eggs,waffles,,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
dog food,white bread,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
napkins,pastry,,,,,,,,,
bottled beer,soap,,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,herbs,other vegetables,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
meat,coffee,,,,,,,,,
cream cheese ,yogurt,bottled beer,bottled beer,,,,,,,
whole milk,berries,canned beer,sausage,chicken,canned beer,zwieback,beverages,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
beverages,curd,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hamburger meat,coffee,yogurt,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
meat,processed cheese,root vegetables,cat food,,,,,,,
bottled water,canned beer,,,,,,,,,
curd,soda,ice cream,,,,,,,,
root vegetables,curd,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
rolls/buns,napkins,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
ice cream,bottled water,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
napkins,white bread,,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
whole milk,pot plants,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
butter milk,ham,whole milk,chicken,domestic eggs,shopping bags,chewing gum,shopping bags,white bread,,
frozen meals,hamburger meat,whole milk,pastry,fruit/vegetable juice,,,,,,
rum,sugar,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
soda,cake bar,,,,,,,,,
soda,shopping bags,,,,,,,,,
onions,bottled water,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
bottled beer,whole milk,UHT-milk,chocolate,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
pet care,napkins,,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
ham,chocolate,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
sugar,curd,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
butter milk,other vegetables,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
specialty bar,waffles,,,,,,,,,
chicken,chocolate marshmallow,hygiene articles,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
frankfurter,soda,,,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
beef,chicken,,,,,,,,,
beef,berries,,,,,,,,,
soda,bottled water,ice cream,,,,,,,,
semi-finished bread,liquor,pastry,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,waffles,,,,,,,,,
sugar,napkins,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
tropical fruit,butter,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
pip fruit,cake bar,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
root vegetables,margarine,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
pork,brown bread,,,,,,,,,
frankfurter,oil,other vegetables,,,,,,,,
grapes,bottled beer,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
other vegetables,herbs,,,,,,,,,
whole milk,sauces,,,,,,,,,
sliced cheese,soda,,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
beef,soda,,,,,,,,,
bottled water,whole milk,,,,,,,,,
beverages,whole milk,,,,,,,,,
tea,soda,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
curd,detergent,,,,,,,,,
root vegetables,whole milk,rolls/buns,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,sausage,,,,,,,,,
cat food,napkins,fruit/vegetable juice,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
butter,soda,,,,,,,,,
soda,grapes,,,,,,,,,
meat spreads,chocolate,,,,,,,,,
citrus fruit,fruit/vegetable juice,pickled vegetables,,,,,,,,
shopping bags,other vegetables,canned vegetables,,,,,,,,
dessert,rolls/buns,,,,,,,,,
processed cheese,hamburger meat,whole milk,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
butter,yogurt,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
rolls/buns,curd,,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
berries,canned fish,,,,,,,,,
canned beer,cake bar,,,,,,,,,
pastry,detergent,rice,,,,,,,,
bottled water,root vegetables,,,,,,,,,
frankfurter,meat,roll products ,pip fruit,,,,,,,
berries,beverages,pastry,napkins,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
waffles,Instant food products,,,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,soda,spices,,,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
frankfurter,cat food,,,,,,,,,
yogurt,jam,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
beverages,soda,,,,,,,,,
whole milk,sausage,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
root vegetables,margarine,,,,,,,,,
domestic eggs,whole milk,rice,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
whole milk,margarine,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
frankfurter,yogurt,,,,,,,,,
pastry,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pastry,brown bread,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
yogurt,coffee,,,,,,,,,
whole milk,chocolate,,,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
meat,hamburger meat,,,,,,,,,
soda,shopping bags,,,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
pork,chocolate,soap,,,,,,,,
root vegetables,soda,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
finished products,yogurt,,,,,,,,,
soda,pasta,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
domestic eggs,pasta,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
beverages,beverages,hamburger meat,frankfurter,soda,root vegetables,butter,cream cheese ,butter,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
citrus fruit,curd,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
white bread,domestic eggs,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
fruit/vegetable juice,candles,,,,,,,,,
meat,other vegetables,,,,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
whole milk,candy,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
berries,butter milk,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
soda,bottled water,,,,,,,,,
butter,citrus fruit,,,,,,,,,
artif. sweetener,curd,,,,,,,,,
fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
white wine,dishes,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
chicken,yogurt,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
roll products ,soda,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
whole milk,frozen meals,,,,,,,,,
root vegetables,soda,dessert,,,,,,,,
canned beer,margarine,chocolate,,,,,,,,
hamburger meat,flour,cling film/bags,,,,,,,,
pork,soda,,,,,,,,,
root vegetables,meat,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
soda,soda,,,,,,,,,
pork,brown bread,,,,,,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
beef,meat,,,,,,,,,
beverages,pastry,,,,,,,,,
curd,brown bread,,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
bottled water,salty snack,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
soft cheese,coffee,,,,,,,,,
citrus fruit,bottled beer,rolls/buns,hygiene articles,softener,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
pip fruit,candy,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
rolls/buns,soda,,,,,,,,,
sausage,white bread,whole milk,butter,,,,,,,
root vegetables,white bread,,,,,,,,,
other vegetables,soda,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
organic sausage,rolls/buns,,,,,,,,,
baking powder,butter,,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
canned beer,sliced cheese,,,,,,,,,
whole milk,oil,,,,,,,,,
salt,domestic eggs,,,,,,,,,
frankfurter,margarine,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
whole milk,canned beer,,,,,,,,,
napkins,skin care,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
oil,margarine,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
soda,dishes,,,,,,,,,
sausage,pasta,,,,,,,,,
long life bakery product,bottled water,,,,,,,,,
chicken,butter,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
white bread,specialty chocolate,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
hamburger meat,coffee,,,,,,,,,
yogurt,soda,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
detergent,other vegetables,oil,beverages,rolls/buns,specialty bar,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
soda,mustard,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,berries,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
hamburger meat,other vegetables,,,,,,,,,
margarine,yogurt,,,,,,,,,
tropical fruit,soda,whipped/sour cream,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
sausage,root vegetables,kitchen towels,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
hygiene articles,newspapers,,,,,,,,,
pastry,bottled water,,,,,,,,,
cocoa drinks,red/blush wine,,,,,,,,,
meat,domestic eggs,,,,,,,,,
detergent,tropical fruit,shopping bags,soft cheese,,,,,,,
rolls/buns,candy,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
cake bar,white bread,newspapers,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
bottled water,newspapers,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
whole milk,yogurt,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
hamburger meat,pastry,flour,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
pastry,other vegetables,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
cereals,bottled water,,,,,,,,,
bottled beer,pasta,,,,,,,,,
frankfurter,sausage,,,,,,,,,
whole milk,white bread,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
bottled water,chewing gum,,,,,,,,,
rolls/buns,root vegetables,rolls/buns,long life bakery product,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
seasonal products,salt,,,,,,,,,
flour,ready soups,,,,,,,,,
detergent,whole milk,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
pastry,soda,,,,,,,,,
chicken,pickled vegetables,,,,,,,,,
coffee,shopping bags,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
other vegetables,berries,,,,,,,,,
sparkling wine,softener,,,,,,,,,
yogurt,newspapers,,,,,,,,,
whole milk,white wine,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
coffee,cat food,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
soda,soda,canned beer,,,,,,,,
bottled beer,chocolate,,,,,,,,,
rolls/buns,soda,,,,,,,,,
ham,napkins,,,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
rolls/buns,soda,,,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
whole milk,citrus fruit,butter milk,specialty bar,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
sliced cheese,sliced cheese,,,,,,,,,
beef,tropical fruit,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
soda,canned vegetables,,,,,,,,,
onions,curd,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
pastry,pasta,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
citrus fruit,pastry,,,,,,,,,
margarine,whole milk,,,,,,,,,
other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
pastry,bottled beer,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
sausage,yogurt,,,,,,,,,
specialty fat,liquor (appetizer),,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
yogurt,misc. beverages,,,,,,,,,
white wine,canned vegetables,flour,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
pastry,whole milk,soda,Instant food products,,,,,,,
coffee,shopping bags,,,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
soda,pickled vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
hamburger meat,whole milk,root vegetables,hygiene articles,hygiene articles,brown bread,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
beverages,frozen meals,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,soda,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
chicken,cream cheese ,citrus fruit,chicken,pet care,napkins,condensed milk,specialty chocolate,,,
pip fruit,chocolate,brown bread,,,,,,,,
butter,frozen vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
yogurt,curd,,,,,,,,,
other vegetables,curd,,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
processed cheese,dishes,,,,,,,,,
curd,whole milk,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
curd,curd,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
pastry,oil,potato products,,,,,,,,
butter milk,yogurt,,,,,,,,,
ham,cream cheese ,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
pet care,beef,,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
sausage,hamburger meat,,,,,,,,,
soft cheese,onions,,,,,,,,,
whole milk,pork,rolls/buns,,,,,,,,
yogurt,yogurt,,,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
bottled beer,pastry,,,,,,,,,
canned beer,dishes,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
hygiene articles,canned fish,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
whole milk,brown bread,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
canned beer,soda,other vegetables,canned vegetables,,,,,,,
pip fruit,bottled beer,,,,,,,,,
soda,napkins,,,,,,,,,
sausage,bottled water,,,,,,,,,
chicken,margarine,,,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
long life bakery product,butter milk,Instant food products,,,,,,,,
coffee,pip fruit,,,,,,,,,
margarine,berries,,,,,,,,,
bottled beer,oil,,,,,,,,,
shopping bags,dessert,other vegetables,bottled water,margarine,,,,,,
pip fruit,whole milk,,,,,,,,,
soda,margarine,,,,,,,,,
decalcifier,root vegetables,,,,,,,,,
beverages,bottled water,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
meat,citrus fruit,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
butter,onions,napkins,,,,,,,,
whole milk,newspapers,,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
salty snack,pastry,oil,,,,,,,,
rolls/buns,curd,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
soda,shopping bags,canned beer,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
butter,red/blush wine,,,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
rolls/buns,pip fruit,rolls/buns,rolls/buns,,,,,,,
frankfurter,chocolate,,,,,,,,,
tropical fruit,berries,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
spread cheese,chocolate marshmallow,,,,,,,,,
pip fruit,pot plants,,,,,,,,,
whole milk,pastry,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
shopping bags,curd,,,,,,,,,
domestic eggs,candy,,,,,,,,,
newspapers,coffee,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
onions,white wine,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
ham,whole milk,,,,,,,,,
sausage,white bread,candles,,,,,,,,
whole milk,frozen fish,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
specialty chocolate,frozen potato products,,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
whisky,shopping bags,rum,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
other vegetables,rolls/buns,waffles,,,,,,,,
sausage,yogurt,,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
pastry,frozen fish,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
onions,newspapers,,,,,,,,,
beef,berries,,,,,,,,,
rolls/buns,napkins,ice cream,nut snack,,,,,,,
beverages,beverages,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
pork,yogurt,,,,,,,,,
soft cheese,rice,,,,,,,,,
pork,root vegetables,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
yogurt,long life bakery product,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
frozen meals,yogurt,rolls/buns,,,,,,,,
whole milk,hard cheese,,,,,,,,,
pastry,brandy,soda,,,,,,,,
